Year,Precip_Moyenne_Region,Temp_Moyenne_Annuelle_POWER,Rayonnement_Solaire_Moyen,GWETTOP,T2M_MAX,T2M_MIN,WS2M,PS,Area_Code,Item_Code
2019,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,2
2020,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,2
2021,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,2
2022,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,2
2023,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,2
2019,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,3
2020,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,3
2021,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,3
2022,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,3
2023,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,3
2019,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,8
2020,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,8
2021,1180.0529666666666,26.801611842105263,18.92727272727273,0.5500657894736843,40.85417763157894,12.459671052631576,2.043980263157895,98.34763157894736,0,8
