Value
627.7
568.9
598.6
668.2
838.9
4825.4
4818.2
4826.0
4823.2
4822.5
360.9
382.0
401.7
417.8
456.2
14173.1
12014.6
11654.7
11185.3
13479.4
708.2
712.5
716.3
719.6
723.7
3103.1
3589.9
4175.3
3560.8
3379.2
902.2
839.3
785.5
725.9
1006.9
194.6
194.4
194.4
194.5
194.5
924.7
937.0
947.0
960.7
714.2
2520.2
2445.8
2461.8
2475.8
2461.1
799.2
589.8
606.4
531.5
712.1
976.1
999.2
1050.3
1032.8
737.4
1729.2
1699.8
1679.2
1658.1
1635.3
300.3
300.3
300.2
300.3
300.3
1075.2
1271.8
1206.4
1164.3
991.9
4730.9
4746.0
4746.7
4741.1
4744.6
901.0
1146.4
1010.1
935.2
717.1
17701.6
17842.5
17816.0
17685.5
17816.8
3391.0
3704.5
3663.8
3623.0
4040.1
16898.0
12806.9
13680.6
12686.2
11316.0
2361.7
2389.5
2379.9
2377.1
2382.2
3681.0
3681.4
3628.0
3618.0
3607.5
347.5
341.7
345.3
344.9
344.1
1271.2
1280.5
1191.1
1203.8
1200.2
11471.6
11235.9
11158.9
11283.6
11224.7
294.3
295.3
296.8
290.7
290.4
954.3
922.9
874.2
924.7
665.9
63374.8
64307.3
65240.1
66031.2
68629.5
9868.8
10761.0
11789.6
13213.8
6800.0
3965.1
3935.3
4100.0
3893.6
3730.7
1066.7
1179.1
1197.3
1026.5
1176.3
833.3
833.3
833.3
833.3
833.3
1059.1
1100.5
1007.4
976.0
871.8
1335.7
1247.5
1250.4
1089.3
1003.8
34108.1
33998.1
33958.2
33936.0
33828.0
6273.5
5618.7
5418.3
5340.4
7735.4
3116.9
3019.0
3398.6
3291.3
6683.3
9044.1
6622.1
6785.6
6787.8
7165.8
616.0
621.2
628.2
621.8
623.7
14301.1
13756.7
12812.7
12771.4
10787.6
1238.3
1432.8
1408.6
1361.5
1126.7
2361.7
2389.5
2379.9
2377.1
2382.2
373.4
412.7
419.1
359.3
411.7
9461.3
9662.6
10222.7
11148.5
11245.8
474.6
495.8
513.2
480.2
523.2
290.7
304.4
310.7
304.0
285.4
920.6
921.0
